type,original,placeholder,file,line,role
parameter,output_pickle_path,param_002,gcpdeploy\src\missing_values_handler.py,15,parameter
import,pytz,module_l1_009,gcpdeploy\src\model_analysis.py,3,module
import,gcsfs,module_l1_010,gcpdeploy\src\model_analysis.py,9,module
import_from,tabulate,module_l1_011,gcpdeploy\src\model_analysis.py,17,module
function,load_data,data_loader_func_001,gcpdeploy\src\model_analysis.py,28,data_loader
parameter,gcs_train_data_path,param_041,gcpdeploy\src\model_analysis.py,28,parameter
function,normalize_data,data_cleaning_func_007,gcpdeploy\src\model_analysis.py,51,data_cleaning
parameter,stats,param_042,gcpdeploy\src\model_analysis.py,51,parameter
function,data_transform,ml_model_func_007,gcpdeploy\src\model_analysis.py,73,ml_model
function,top_pca,ml_model_func_008,gcpdeploy\src\model_analysis.py,117,ml_model
parameter,pca_output,param_043,gcpdeploy\src\model_analysis.py,117,parameter
function,cluster_distribution,ml_model_func_009,gcpdeploy\src\model_analysis.py,165,ml_model
parameter,pca_output,param_043,gcpdeploy\src\model_analysis.py,165,parameter
function,evaluation_metrics,utility_func_003,gcpdeploy\src\model_analysis.py,209,utility
parameter,pca_output,param_043,gcpdeploy\src\model_analysis.py,209,parameter
function,train_model,ml_model_func_010,gcpdeploy\src\model_analysis.py,251,ml_model
parameter,X_train,param_044,gcpdeploy\src\model_analysis.py,251,parameter
parameter,y_train,param_045,gcpdeploy\src\model_analysis.py,251,parameter
function,save_and_upload_model,data_saver_func_003,gcpdeploy\src\model_analysis.py,266,data_saver
parameter,model,param_034,gcpdeploy\src\model_analysis.py,266,parameter
parameter,local_model_path,param_046,gcpdeploy\src\model_analysis.py,266,parameter
parameter,gcs_model_path,param_047,gcpdeploy\src\model_analysis.py,266,parameter
function,silhouette_analysis,analysis_func_003,gcpdeploy\src\model_analysis.py,282,analysis
parameter,figsize,param_048,gcpdeploy\src\model_analysis.py,282,parameter
function,removing_outlier,data_cleaning_func_004,gcpdeploy\src\outlier_treatment.py,16,data_cleaning
parameter,input_pickle_path,param_001,gcpdeploy\src\outlier_treatment.py,16,parameter
parameter,output_pickle_path,param_002,gcpdeploy\src\outlier_treatment.py,16,parameter
import_from,prompt_toolkit.shortcuts,module_l2_020,gcpdeploy\src\pca.py,12,module
function,pc_analyzer,ml_model_func_001,gcpdeploy\src\pca.py,23,ml_model
parameter,in_path,param_006,gcpdeploy\src\pca.py,23,parameter
parameter,out_path,param_007,gcpdeploy\src\pca.py,23,parameter
parameter,drop_cols,param_015,gcpdeploy\src\pca.py,23,parameter
parameter,cvr_thresh,param_016,gcpdeploy\src\pca.py,23,parameter
function,pca_,ml_model_func_002,gcpdeploy\src\pca.py,94,ml_model
parameter,thresh,param_017,gcpdeploy\src\pca.py,94,parameter
function,removing_zero,data_cleaning_func_005,gcpdeploy\src\removing_zero_unitprice.py,16,data_cleaning
parameter,input_pickle_path,param_001,gcpdeploy\src\removing_zero_unitprice.py,16,parameter
parameter,output_pickle_path,param_002,gcpdeploy\src\removing_zero_unitprice.py,16,parameter
function,rfm,feature_engineering_func_004,gcpdeploy\src\rfm.py,14,feature_engineering
parameter,input_pickle_file,param_003,gcpdeploy\src\rfm.py,14,parameter
parameter,output_pickle_file,param_005,gcpdeploy\src\rfm.py,14,parameter
function,seasonality_impacts,feature_engineering_func_005,gcpdeploy\src\seasonality.py,16,feature_engineering
parameter,input_pickle_file,param_003,gcpdeploy\src\seasonality.py,16,parameter
parameter,cancellation_pickle_file,param_019,gcpdeploy\src\seasonality.py,16,parameter
parameter,output_pickle_file,param_005,gcpdeploy\src\seasonality.py,16,parameter
function,calculate_trend,analysis_func_002,gcpdeploy\src\seasonality.py,50,analysis
parameter,spend_data,param_021,gcpdeploy\src\seasonality.py,50,parameter
function,handle_transaction_status,data_cleaning_func_006,gcpdeploy\src\transaction_status_handler.py,18,data_cleaning
parameter,input_pickle_path,param_001,gcpdeploy\src\transaction_status_handler.py,18,parameter
parameter,output_pickle_path,param_002,gcpdeploy\src\transaction_status_handler.py,18,parameter
function,unique_products,feature_engineering_func_006,gcpdeploy\src\unique_products.py,14,feature_engineering
parameter,input_pickle_file,param_003,gcpdeploy\src\unique_products.py,14,parameter
parameter,rfm_pickle_file,param_022,gcpdeploy\src\unique_products.py,14,parameter
parameter,output_pickle_file,param_005,gcpdeploy\src\unique_products.py,14,parameter
import,zipfile,module_l1_001,gcpdeploy\src\unzip_data.py,4,module
function,unzip_file,data_loader_func_003,gcpdeploy\src\unzip_data.py,13,data_loader
parameter,zip_filename,param_023,gcpdeploy\src\unzip_data.py,13,parameter
parameter,extract_to,param_024,gcpdeploy\src\unzip_data.py,13,parameter
function,get_table_schema,data_loader_func_004,gcpdeploy\src\serve\predict.py,36,data_loader
function,create_table_if_not_exists,feature_engineering_func_008,gcpdeploy\src\serve\predict.py,55,feature_engineering
parameter,client,param_049,gcpdeploy\src\serve\predict.py,55,parameter
parameter,table_id,param_050,gcpdeploy\src\serve\predict.py,55,parameter
parameter,schema,param_051,gcpdeploy\src\serve\predict.py,55,parameter
function,initialize_variables,utility_func_004,gcpdeploy\src\serve\predict.py,76,utility
function,initialize_client_and_bucket,utility_func_005,gcpdeploy\src\serve\predict.py,86,utility
parameter,bucket_name,param_052,gcpdeploy\src\serve\predict.py,86,parameter
function,load_model,data_loader_func_005,gcpdeploy\src\serve\predict.py,98,data_loader
parameter,bucket,param_027,gcpdeploy\src\serve\predict.py,98,parameter
parameter,bucket_name,param_052,gcpdeploy\src\serve\predict.py,98,parameter
function,fetch_latest_model,data_loader_func_006,gcpdeploy\src\serve\predict.py,124,data_loader
parameter,bucket_name,param_052,gcpdeploy\src\serve\predict.py,124,parameter
parameter,prefix,param_053,gcpdeploy\src\serve\predict.py,124,parameter
function,health_check,analysis_func_004,gcpdeploy\src\serve\predict.py,145,analysis
function,predict,ml_model_func_011,gcpdeploy\src\serve\predict.py,153,ml_model
function,remove_outliers,data_cleaning_func_008,gcpdeploy\src\trainer\ClusterBasedRecommender.py,8,data_cleaning
parameter,outliers_data,param_054,gcpdeploy\src\trainer\ClusterBasedRecommender.py,8,parameter
function,merge_customer_transactions,feature_engineering_func_009,gcpdeploy\src\trainer\ClusterBasedRecommender.py,28,feature_engineering
parameter,customer_data_cleaned,param_055,gcpdeploy\src\trainer\ClusterBasedRecommender.py,28,parameter
function,identify_top_products,feature_engineering_func_010,gcpdeploy\src\trainer\ClusterBasedRecommender.py,52,feature_engineering
parameter,merged_data,param_056,gcpdeploy\src\trainer\ClusterBasedRecommender.py,52,parameter
function,record_customer_purchases,utility_func_006,gcpdeploy\src\trainer\ClusterBasedRecommender.py,75,utility
parameter,merged_data,param_056,gcpdeploy\src\trainer\ClusterBasedRecommender.py,75,parameter
function,create_recommendations,feature_engineering_func_011,gcpdeploy\src\trainer\ClusterBasedRecommender.py,93,feature_engineering
parameter,customer_data,param_057,gcpdeploy\src\trainer\ClusterBasedRecommender.py,93,parameter
parameter,top_products_per_cluster,param_058,gcpdeploy\src\trainer\ClusterBasedRecommender.py,93,parameter
parameter,customer_purchases,param_059,gcpdeploy\src\trainer\ClusterBasedRecommender.py,93,parameter
function,generate_recommendations,feature_engineering_func_012,gcpdeploy\src\trainer\ClusterBasedRecommender.py,131,feature_engineering
parameter,outliers_data,param_054,gcpdeploy\src\trainer\ClusterBasedRecommender.py,131,parameter
parameter,customer_data_cleaned,param_055,gcpdeploy\src\trainer\ClusterBasedRecommender.py,131,parameter
import,pytz,module_l1_009,gcpdeploy\src\trainer\train.py,3,module
import,gcsfs,module_l1_010,gcpdeploy\src\trainer\train.py,10,module
